epoch: 0	train ppl: 213069.6657391195	val ppl: 3837.8303768515334	best val: 3837.8303768515334	time (s) spent in epoch: 210.65507102012634
epoch: 1	train ppl: 6480.592211074843	val ppl: 3777.903140140491	best val: 3777.903140140491	time (s) spent in epoch: 210.31090426445007
epoch: 2	train ppl: 1547.3011014832684	val ppl: 755.5873607544338	best val: 755.5873607544338	time (s) spent in epoch: 210.5436885356903
epoch: 3	train ppl: 809.5269653881583	val ppl: 600.8090141409729	best val: 600.8090141409729	time (s) spent in epoch: 210.34743690490723
epoch: 4	train ppl: 610.7137448937535	val ppl: 580.6990979218936	best val: 580.6990979218936	time (s) spent in epoch: 210.4920094013214
epoch: 5	train ppl: 503.69926206230497	val ppl: 638.46091532715	best val: 580.6990979218936	time (s) spent in epoch: 210.2153012752533
epoch: 6	train ppl: 437.6857639562271	val ppl: 481.2776563413754	best val: 481.2776563413754	time (s) spent in epoch: 209.61026453971863
epoch: 7	train ppl: 397.9105005205907	val ppl: 456.7843377856408	best val: 456.7843377856408	time (s) spent in epoch: 210.01991629600525
epoch: 8	train ppl: 360.59286514483534	val ppl: 337.7368445116643	best val: 337.7368445116643	time (s) spent in epoch: 209.9110927581787
epoch: 9	train ppl: 336.4338806636198	val ppl: 342.93092204284835	best val: 337.7368445116643	time (s) spent in epoch: 211.08402800559998
epoch: 10	train ppl: 315.3234221193575	val ppl: 349.36531157887737	best val: 337.7368445116643	time (s) spent in epoch: 210.2617518901825
epoch: 11	train ppl: 298.5207991124141	val ppl: 387.9395018251812	best val: 337.7368445116643	time (s) spent in epoch: 210.88820695877075
epoch: 12	train ppl: 285.4188319113686	val ppl: 288.84364988611696	best val: 288.84364988611696	time (s) spent in epoch: 210.36312103271484
epoch: 13	train ppl: 275.06086801359777	val ppl: 309.07575255351156	best val: 288.84364988611696	time (s) spent in epoch: 210.13332843780518
epoch: 14	train ppl: 259.1423894974854	val ppl: 310.8554357109911	best val: 288.84364988611696	time (s) spent in epoch: 209.07714533805847
epoch: 15	train ppl: 252.11523078843518	val ppl: 271.6122294228399	best val: 271.6122294228399	time (s) spent in epoch: 208.61365580558777
epoch: 16	train ppl: 238.93200691665518	val ppl: 335.61584995466444	best val: 271.6122294228399	time (s) spent in epoch: 204.11048579216003
epoch: 17	train ppl: 230.85535871485425	val ppl: 319.2020025210605	best val: 271.6122294228399	time (s) spent in epoch: 203.3192799091339
epoch: 18	train ppl: 220.19561522689915	val ppl: 300.1145952230209	best val: 271.6122294228399	time (s) spent in epoch: 203.2573618888855
epoch: 19	train ppl: 215.130967623132	val ppl: 296.490462757664	best val: 271.6122294228399	time (s) spent in epoch: 203.0613124370575
epoch: 20	train ppl: 207.3162103946805	val ppl: 275.86897794271124	best val: 271.6122294228399	time (s) spent in epoch: 202.27075815200806
epoch: 21	train ppl: 199.66947217713974	val ppl: 333.14486263966427	best val: 271.6122294228399	time (s) spent in epoch: 201.8346447944641
epoch: 22	train ppl: 188.38428095137385	val ppl: 275.27858081500875	best val: 271.6122294228399	time (s) spent in epoch: 202.7719922065735
epoch: 23	train ppl: 180.36967409670086	val ppl: 302.33127523836134	best val: 271.6122294228399	time (s) spent in epoch: 202.78234362602234
epoch: 24	train ppl: 174.197362107526	val ppl: 327.06125690858266	best val: 271.6122294228399	time (s) spent in epoch: 201.93465781211853
epoch: 25	train ppl: 164.16417286763172	val ppl: 312.05002954431654	best val: 271.6122294228399	time (s) spent in epoch: 201.94750094413757
epoch: 26	train ppl: 155.65026983407859	val ppl: 313.99618211034226	best val: 271.6122294228399	time (s) spent in epoch: 202.22034120559692
epoch: 27	train ppl: 149.9179596480732	val ppl: 313.9927197377162	best val: 271.6122294228399	time (s) spent in epoch: 203.08290576934814
epoch: 28	train ppl: 142.83500779421965	val ppl: 373.55512086591557	best val: 271.6122294228399	time (s) spent in epoch: 202.73629188537598
epoch: 29	train ppl: 137.196105276834	val ppl: 278.27179129166296	best val: 271.6122294228399	time (s) spent in epoch: 202.52179551124573
epoch: 30	train ppl: 131.317983977873	val ppl: 320.31335324728843	best val: 271.6122294228399	time (s) spent in epoch: 202.00657176971436
epoch: 31	train ppl: 125.93973566365598	val ppl: 412.7278944562508	best val: 271.6122294228399	time (s) spent in epoch: 202.0258502960205
epoch: 32	train ppl: 121.57721427140375	val ppl: 447.4212768694911	best val: 271.6122294228399	time (s) spent in epoch: 202.39165568351746
epoch: 33	train ppl: 118.21185719489625	val ppl: 327.657830953162	best val: 271.6122294228399	time (s) spent in epoch: 202.275475025177
epoch: 34	train ppl: 114.8557432327952	val ppl: 423.24081814871187	best val: 271.6122294228399	time (s) spent in epoch: 202.22765254974365
epoch: 35	train ppl: 108.7720192090928	val ppl: 450.3939798320972	best val: 271.6122294228399	time (s) spent in epoch: 202.77259492874146
epoch: 36	train ppl: 106.47656908918998	val ppl: 404.08250231701453	best val: 271.6122294228399	time (s) spent in epoch: 203.35009717941284
epoch: 37	train ppl: 103.22993061706288	val ppl: 440.6812674561509	best val: 271.6122294228399	time (s) spent in epoch: 202.6248483657837
epoch: 38	train ppl: 100.64827358381564	val ppl: 546.4279139939762	best val: 271.6122294228399	time (s) spent in epoch: 202.9250295162201
epoch: 39	train ppl: 99.61952538107012	val ppl: 398.95829270182975	best val: 271.6122294228399	time (s) spent in epoch: 202.66652631759644
