epoch: 0	train ppl: 213069.6657391195	val ppl: 3837.8303768515334	best val: 3837.8303768515334	time (s) spent in epoch: 216.53207564353943
epoch: 1	train ppl: 6480.592211074843	val ppl: 3777.903140140491	best val: 3777.903140140491	time (s) spent in epoch: 216.38072228431702
epoch: 2	train ppl: 1547.3011014832684	val ppl: 755.5873607544338	best val: 755.5873607544338	time (s) spent in epoch: 215.07702159881592
epoch: 3	train ppl: 809.5269653881583	val ppl: 600.8090141409729	best val: 600.8090141409729	time (s) spent in epoch: 216.16445302963257
epoch: 4	train ppl: 610.7137448937535	val ppl: 580.6990979218936	best val: 580.6990979218936	time (s) spent in epoch: 215.42103672027588
epoch: 5	train ppl: 503.69926206230497	val ppl: 638.46091532715	best val: 580.6990979218936	time (s) spent in epoch: 213.904958486557
epoch: 6	train ppl: 437.6857639562271	val ppl: 481.2776563413754	best val: 481.2776563413754	time (s) spent in epoch: 215.58565187454224
epoch: 7	train ppl: 397.9105005205907	val ppl: 456.7843377856408	best val: 456.7843377856408	time (s) spent in epoch: 215.0009548664093
epoch: 8	train ppl: 360.59286514483534	val ppl: 337.7368445116643	best val: 337.7368445116643	time (s) spent in epoch: 215.38158869743347
epoch: 9	train ppl: 336.4338806636198	val ppl: 342.93092204284835	best val: 337.7368445116643	time (s) spent in epoch: 213.7657494544983
epoch: 10	train ppl: 315.3234221193575	val ppl: 349.36531157887737	best val: 337.7368445116643	time (s) spent in epoch: 213.5599217414856
epoch: 11	train ppl: 298.5207991124141	val ppl: 387.9395018251812	best val: 337.7368445116643	time (s) spent in epoch: 213.38699221611023
epoch: 12	train ppl: 285.4188319113686	val ppl: 288.84364988611696	best val: 288.84364988611696	time (s) spent in epoch: 214.57727432250977
epoch: 13	train ppl: 275.06086801359777	val ppl: 309.07575255351156	best val: 288.84364988611696	time (s) spent in epoch: 212.54504251480103
epoch: 14	train ppl: 259.1423894974854	val ppl: 310.8554357109911	best val: 288.84364988611696	time (s) spent in epoch: 211.8377709388733
epoch: 15	train ppl: 207.3827851258727	val ppl: 278.6634367671422	best val: 278.6634367671422	time (s) spent in epoch: 213.48022842407227
epoch: 16	train ppl: 164.0884493626318	val ppl: 224.30314608922	best val: 224.30314608922	time (s) spent in epoch: 210.03302645683289
epoch: 17	train ppl: 140.71078198007874	val ppl: 221.15722316225612	best val: 221.15722316225612	time (s) spent in epoch: 208.53210377693176
epoch: 18	train ppl: 127.91942764611528	val ppl: 218.16855304461484	best val: 218.16855304461484	time (s) spent in epoch: 208.7516269683838
epoch: 19	train ppl: 120.68072654280168	val ppl: 222.36209177510972	best val: 218.16855304461484	time (s) spent in epoch: 207.79487252235413
epoch: 20	train ppl: 116.13851490851913	val ppl: 223.8330527135435	best val: 218.16855304461484	time (s) spent in epoch: 210.97243309020996
epoch: 21	train ppl: 113.74263876184084	val ppl: 224.00219328497923	best val: 218.16855304461484	time (s) spent in epoch: 212.08116793632507
epoch: 22	train ppl: 112.66408038476735	val ppl: 222.8315396807275	best val: 218.16855304461484	time (s) spent in epoch: 211.3873393535614
epoch: 23	train ppl: 112.28927503507609	val ppl: 222.14002243501105	best val: 218.16855304461484	time (s) spent in epoch: 211.50158739089966
epoch: 24	train ppl: 112.11633157921123	val ppl: 222.17518557031298	best val: 218.16855304461484	time (s) spent in epoch: 210.36326241493225
epoch: 25	train ppl: 112.11434500838737	val ppl: 221.9464236841128	best val: 218.16855304461484	time (s) spent in epoch: 209.5534315109253
epoch: 26	train ppl: 112.08349311358207	val ppl: 221.86957628183723	best val: 218.16855304461484	time (s) spent in epoch: 209.32300448417664
epoch: 27	train ppl: 112.12592401945228	val ppl: 221.77607923779365	best val: 218.16855304461484	time (s) spent in epoch: 209.48915004730225
epoch: 28	train ppl: 112.0962750803546	val ppl: 221.86842575703687	best val: 218.16855304461484	time (s) spent in epoch: 209.27249240875244
epoch: 29	train ppl: 112.099970536623	val ppl: 221.89645661945607	best val: 218.16855304461484	time (s) spent in epoch: 209.25553679466248
epoch: 30	train ppl: 112.11647904966577	val ppl: 222.09901353311687	best val: 218.16855304461484	time (s) spent in epoch: 209.23864126205444
epoch: 31	train ppl: 112.12737767893138	val ppl: 221.87514384820713	best val: 218.16855304461484	time (s) spent in epoch: 209.256094455719
epoch: 32	train ppl: 112.16894590007003	val ppl: 221.86642227119407	best val: 218.16855304461484	time (s) spent in epoch: 209.44813466072083
epoch: 33	train ppl: 112.1029063821265	val ppl: 221.86426672577144	best val: 218.16855304461484	time (s) spent in epoch: 209.1511526107788
epoch: 34	train ppl: 112.06826835559828	val ppl: 221.89273351494873	best val: 218.16855304461484	time (s) spent in epoch: 209.31040453910828
epoch: 35	train ppl: 112.12312859329053	val ppl: 221.9911621836806	best val: 218.16855304461484	time (s) spent in epoch: 209.38665652275085
epoch: 36	train ppl: 112.08251173320191	val ppl: 221.86010777246906	best val: 218.16855304461484	time (s) spent in epoch: 209.64969897270203
epoch: 37	train ppl: 112.10062773170338	val ppl: 221.88723163473534	best val: 218.16855304461484	time (s) spent in epoch: 209.69384813308716
epoch: 38	train ppl: 112.05273256526793	val ppl: 221.79413035905446	best val: 218.16855304461484	time (s) spent in epoch: 211.16294860839844
epoch: 39	train ppl: 112.08681995631366	val ppl: 221.88044043947409	best val: 218.16855304461484	time (s) spent in epoch: 211.99096989631653
