epoch: 0	train ppl: 393.0845881083144	val ppl: 236.26480094878744	best val: 236.26480094878744	time (s) spent in epoch: 56.63634014129639
epoch: 1	train ppl: 189.9014172235799	val ppl: 207.58898958240164	best val: 207.58898958240164	time (s) spent in epoch: 56.24741554260254
epoch: 2	train ppl: 151.77831369924706	val ppl: 204.4559328373749	best val: 204.4559328373749	time (s) spent in epoch: 56.2567880153656
epoch: 3	train ppl: 131.89798281294415	val ppl: 207.5511555770344	best val: 204.4559328373749	time (s) spent in epoch: 56.29914402961731
epoch: 4	train ppl: 118.46169760866562	val ppl: 213.13533307395045	best val: 204.4559328373749	time (s) spent in epoch: 56.21533560752869
epoch: 5	train ppl: 108.76591591626784	val ppl: 220.6067174094129	best val: 204.4559328373749	time (s) spent in epoch: 55.75153946876526
epoch: 6	train ppl: 101.43551548527142	val ppl: 229.87695029473608	best val: 204.4559328373749	time (s) spent in epoch: 56.0344557762146
epoch: 7	train ppl: 96.06700785426729	val ppl: 239.59814800258795	best val: 204.4559328373749	time (s) spent in epoch: 55.785502433776855
epoch: 8	train ppl: 91.83182184841311	val ppl: 248.77487358583986	best val: 204.4559328373749	time (s) spent in epoch: 55.768908739089966
epoch: 9	train ppl: 88.30377787546183	val ppl: 255.9243009836831	best val: 204.4559328373749	time (s) spent in epoch: 55.71537923812866
epoch: 10	train ppl: 85.25332085396377	val ppl: 266.9786263668521	best val: 204.4559328373749	time (s) spent in epoch: 55.84223127365112
epoch: 11	train ppl: 82.63072328324911	val ppl: 274.1063532726969	best val: 204.4559328373749	time (s) spent in epoch: 55.7079291343689
epoch: 12	train ppl: 80.22297244069412	val ppl: 279.60394641569576	best val: 204.4559328373749	time (s) spent in epoch: 55.61919713020325
epoch: 13	train ppl: 78.02711660247411	val ppl: 287.884998262249	best val: 204.4559328373749	time (s) spent in epoch: 55.63366889953613
epoch: 14	train ppl: 75.75785528433846	val ppl: 296.6140791119359	best val: 204.4559328373749	time (s) spent in epoch: 55.648587465286255
epoch: 15	train ppl: 73.76234823744035	val ppl: 304.5910146390991	best val: 204.4559328373749	time (s) spent in epoch: 55.62767314910889
epoch: 16	train ppl: 72.00892988112616	val ppl: 313.0147927517614	best val: 204.4559328373749	time (s) spent in epoch: 55.64596939086914
epoch: 17	train ppl: 70.31986351498223	val ppl: 322.23918020484547	best val: 204.4559328373749	time (s) spent in epoch: 55.604106187820435
epoch: 18	train ppl: 68.73123192970255	val ppl: 332.32949193955085	best val: 204.4559328373749	time (s) spent in epoch: 55.61340832710266
epoch: 19	train ppl: 67.37797057861113	val ppl: 341.83778464103517	best val: 204.4559328373749	time (s) spent in epoch: 55.81599712371826
epoch: 20	train ppl: 65.9866146633381	val ppl: 350.634876049817	best val: 204.4559328373749	time (s) spent in epoch: 55.61850881576538
epoch: 21	train ppl: 64.71291534869762	val ppl: 360.82670908402457	best val: 204.4559328373749	time (s) spent in epoch: 55.623010873794556
epoch: 22	train ppl: 63.372364927324085	val ppl: 370.9042748413964	best val: 204.4559328373749	time (s) spent in epoch: 55.63264346122742
epoch: 23	train ppl: 62.11698878933572	val ppl: 379.57794816850424	best val: 204.4559328373749	time (s) spent in epoch: 55.61905336380005
epoch: 24	train ppl: 60.872535547346345	val ppl: 392.54459182865963	best val: 204.4559328373749	time (s) spent in epoch: 55.62847185134888
epoch: 25	train ppl: 59.749613960071706	val ppl: 401.5057375029299	best val: 204.4559328373749	time (s) spent in epoch: 55.62749743461609
epoch: 26	train ppl: 58.8688647692358	val ppl: 416.7397189894775	best val: 204.4559328373749	time (s) spent in epoch: 55.62171697616577
epoch: 27	train ppl: 58.12245786442491	val ppl: 426.59022513512673	best val: 204.4559328373749	time (s) spent in epoch: 55.59906578063965
epoch: 28	train ppl: 57.65104936584375	val ppl: 435.64221445073014	best val: 204.4559328373749	time (s) spent in epoch: 55.57980942726135
epoch: 29	train ppl: 57.24731021368556	val ppl: 438.16919402720714	best val: 204.4559328373749	time (s) spent in epoch: 55.57716703414917
epoch: 30	train ppl: 56.63990152261898	val ppl: 441.21080583001213	best val: 204.4559328373749	time (s) spent in epoch: 55.59347081184387
epoch: 31	train ppl: 56.14576086952022	val ppl: 445.3360430931115	best val: 204.4559328373749	time (s) spent in epoch: 55.58073353767395
epoch: 32	train ppl: 55.53227784134375	val ppl: 447.53228446166725	best val: 204.4559328373749	time (s) spent in epoch: 55.592896938323975
epoch: 33	train ppl: 54.893781122311466	val ppl: 449.69200563750513	best val: 204.4559328373749	time (s) spent in epoch: 55.59737944602966
epoch: 34	train ppl: 54.20839011400678	val ppl: 454.6337200096945	best val: 204.4559328373749	time (s) spent in epoch: 55.72801208496094
epoch: 35	train ppl: 53.656507149471715	val ppl: 458.4724957371772	best val: 204.4559328373749	time (s) spent in epoch: 55.90351462364197
epoch: 36	train ppl: 52.85714548297368	val ppl: 464.3354749869944	best val: 204.4559328373749	time (s) spent in epoch: 55.89228367805481
epoch: 37	train ppl: 52.46354993938305	val ppl: 469.2130153839054	best val: 204.4559328373749	time (s) spent in epoch: 55.87357139587402
epoch: 38	train ppl: 51.931708509759	val ppl: 475.009944956622	best val: 204.4559328373749	time (s) spent in epoch: 55.91896605491638
epoch: 39	train ppl: 51.43603556322833	val ppl: 478.1204497093447	best val: 204.4559328373749	time (s) spent in epoch: 55.862247467041016
