epoch: 0	train ppl: 291.0039302526054	val ppl: 222.99416151941122	best val: 222.99416151941122	time (s) spent in epoch: 165.5051519870758
epoch: 1	train ppl: 150.054174869346	val ppl: 222.5804958983474	best val: 222.5804958983474	time (s) spent in epoch: 165.55072164535522
epoch: 2	train ppl: 119.35046858520995	val ppl: 233.4800624461352	best val: 222.5804958983474	time (s) spent in epoch: 166.0775454044342
epoch: 3	train ppl: 105.5666902101855	val ppl: 242.4393255359286	best val: 222.5804958983474	time (s) spent in epoch: 165.27034449577332
epoch: 4	train ppl: 98.19714018069824	val ppl: 250.71971768494788	best val: 222.5804958983474	time (s) spent in epoch: 166.06059908866882
epoch: 5	train ppl: 92.57565849607663	val ppl: 259.02763994034257	best val: 222.5804958983474	time (s) spent in epoch: 165.2222020626068
epoch: 6	train ppl: 86.88152919475321	val ppl: 275.9500130816379	best val: 222.5804958983474	time (s) spent in epoch: 165.1953399181366
epoch: 7	train ppl: 81.46831204351581	val ppl: 288.2548294083626	best val: 222.5804958983474	time (s) spent in epoch: 165.18828320503235
epoch: 8	train ppl: 76.12027655427548	val ppl: 300.1770942398292	best val: 222.5804958983474	time (s) spent in epoch: 165.27068209648132
epoch: 9	train ppl: 71.99602216030728	val ppl: 308.97252173377865	best val: 222.5804958983474	time (s) spent in epoch: 165.14880752563477
epoch: 10	train ppl: 67.68334220579439	val ppl: 329.4314788703938	best val: 222.5804958983474	time (s) spent in epoch: 164.7835214138031
epoch: 11	train ppl: 63.750772095537364	val ppl: 351.6663473277083	best val: 222.5804958983474	time (s) spent in epoch: 164.6790738105774
epoch: 12	train ppl: 60.73613513052352	val ppl: 368.6467561277137	best val: 222.5804958983474	time (s) spent in epoch: 164.65472149848938
epoch: 13	train ppl: 57.4864581984547	val ppl: 389.75306751755926	best val: 222.5804958983474	time (s) spent in epoch: 164.6861081123352
epoch: 14	train ppl: 54.360294664055516	val ppl: 413.6059333158338	best val: 222.5804958983474	time (s) spent in epoch: 164.45343160629272
epoch: 15	train ppl: 52.55450948757492	val ppl: 449.5042177040524	best val: 222.5804958983474	time (s) spent in epoch: 164.47356414794922
epoch: 16	train ppl: 50.01551060494074	val ppl: 457.8892423833959	best val: 222.5804958983474	time (s) spent in epoch: 164.57122349739075
epoch: 17	train ppl: 47.75938492305513	val ppl: 487.1265077159543	best val: 222.5804958983474	time (s) spent in epoch: 164.57125639915466
epoch: 18	train ppl: 46.59722825830382	val ppl: 489.4550589288432	best val: 222.5804958983474	time (s) spent in epoch: 164.5493621826172
epoch: 19	train ppl: 45.05340490561665	val ppl: 509.012451713883	best val: 222.5804958983474	time (s) spent in epoch: 164.63484621047974
epoch: 20	train ppl: 43.78720632016379	val ppl: 532.0059273417614	best val: 222.5804958983474	time (s) spent in epoch: 164.72246146202087
epoch: 21	train ppl: 42.615535829951575	val ppl: 580.7933550364966	best val: 222.5804958983474	time (s) spent in epoch: 164.71479082107544
epoch: 22	train ppl: 41.45976057592829	val ppl: 569.6226026818739	best val: 222.5804958983474	time (s) spent in epoch: 164.66026544570923
epoch: 23	train ppl: 40.372203505356865	val ppl: 598.7470532438159	best val: 222.5804958983474	time (s) spent in epoch: 164.75313878059387
epoch: 24	train ppl: 39.64260131344362	val ppl: 629.7119681986454	best val: 222.5804958983474	time (s) spent in epoch: 164.8927640914917
epoch: 25	train ppl: 39.326299659703935	val ppl: 640.0355435966485	best val: 222.5804958983474	time (s) spent in epoch: 164.94314122200012
epoch: 26	train ppl: 37.7800297576349	val ppl: 677.1905599865846	best val: 222.5804958983474	time (s) spent in epoch: 164.99135899543762
epoch: 27	train ppl: 37.10486111342575	val ppl: 733.1399127059501	best val: 222.5804958983474	time (s) spent in epoch: 164.9427626132965
epoch: 28	train ppl: 36.64607721545697	val ppl: 730.6893173736312	best val: 222.5804958983474	time (s) spent in epoch: 164.88868761062622
epoch: 29	train ppl: 36.04875403775018	val ppl: 734.104208460485	best val: 222.5804958983474	time (s) spent in epoch: 164.8302595615387
epoch: 30	train ppl: 35.30170631986678	val ppl: 764.6621476347401	best val: 222.5804958983474	time (s) spent in epoch: 164.89556503295898
epoch: 31	train ppl: 34.898816191609434	val ppl: 794.3652767303134	best val: 222.5804958983474	time (s) spent in epoch: 164.94813680648804
epoch: 32	train ppl: 35.14972695366272	val ppl: 811.7239405343624	best val: 222.5804958983474	time (s) spent in epoch: 164.86680245399475
epoch: 33	train ppl: 36.32668370026058	val ppl: 837.5230472658667	best val: 222.5804958983474	time (s) spent in epoch: 164.86171579360962
epoch: 34	train ppl: 33.63981750967867	val ppl: 870.8870031508294	best val: 222.5804958983474	time (s) spent in epoch: 165.25043034553528
epoch: 35	train ppl: 34.633584113290155	val ppl: 956.0769936449527	best val: 222.5804958983474	time (s) spent in epoch: 165.1006636619568
epoch: 36	train ppl: 33.39348289100576	val ppl: 878.9323405417186	best val: 222.5804958983474	time (s) spent in epoch: 164.92309093475342
epoch: 37	train ppl: 34.40265168941693	val ppl: 907.1670448001994	best val: 222.5804958983474	time (s) spent in epoch: 164.7559952735901
epoch: 38	train ppl: 33.23204707751996	val ppl: 885.4065800615119	best val: 222.5804958983474	time (s) spent in epoch: 164.8189640045166
epoch: 39	train ppl: 33.27655953724484	val ppl: 897.5001050241525	best val: 222.5804958983474	time (s) spent in epoch: 164.78665018081665
