epoch: 0	train ppl: 480.8915310875624	val ppl: 268.0284268413293	best val: 268.0284268413293	time (s) spent in epoch: 691.6429598331451
epoch: 1	train ppl: 272.0064921175228	val ppl: 222.67953422678318	best val: 222.67953422678318	time (s) spent in epoch: 691.9220609664917
epoch: 2	train ppl: 224.27043600034807	val ppl: 191.34148298427291	best val: 191.34148298427291	time (s) spent in epoch: 691.9263134002686
epoch: 3	train ppl: 197.78835892884223	val ppl: 174.32219132607048	best val: 174.32219132607048	time (s) spent in epoch: 691.4468929767609
epoch: 4	train ppl: 179.879851971353	val ppl: 163.7384747644787	best val: 163.7384747644787	time (s) spent in epoch: 691.1600863933563
epoch: 5	train ppl: 166.05787900203237	val ppl: 153.97571483199783	best val: 153.97571483199783	time (s) spent in epoch: 691.0642511844635
epoch: 6	train ppl: 155.0427715826527	val ppl: 146.73621461224002	best val: 146.73621461224002	time (s) spent in epoch: 693.3806025981903
epoch: 7	train ppl: 146.21170848798155	val ppl: 142.78328140480605	best val: 142.78328140480605	time (s) spent in epoch: 704.0278053283691
epoch: 8	train ppl: 138.40008473523486	val ppl: 142.89667327234116	best val: 142.78328140480605	time (s) spent in epoch: 704.0604853630066
epoch: 9	train ppl: 131.87688291142098	val ppl: 134.00499867587462	best val: 134.00499867587462	time (s) spent in epoch: 704.0090043544769
epoch: 10	train ppl: 126.13330011869664	val ppl: 132.93952090176515	best val: 132.93952090176515	time (s) spent in epoch: 703.700496673584
epoch: 11	train ppl: 121.11175500316784	val ppl: 130.40319547624787	best val: 130.40319547624787	time (s) spent in epoch: 704.1469764709473
epoch: 12	train ppl: 116.55717106152363	val ppl: 128.93355495556978	best val: 128.93355495556978	time (s) spent in epoch: 704.1687314510345
epoch: 13	train ppl: 112.26366372774686	val ppl: 127.89444222833922	best val: 127.89444222833922	time (s) spent in epoch: 704.221818447113
epoch: 14	train ppl: 108.64855395673331	val ppl: 126.41345224239484	best val: 126.41345224239484	time (s) spent in epoch: 703.6692688465118
epoch: 15	train ppl: 105.09722500698169	val ppl: 126.9951087942681	best val: 126.41345224239484	time (s) spent in epoch: 706.1155469417572
epoch: 16	train ppl: 102.06782485691882	val ppl: 125.3030623781196	best val: 125.3030623781196	time (s) spent in epoch: 707.0404596328735
epoch: 17	train ppl: 98.99121900995644	val ppl: 123.9546892280857	best val: 123.9546892280857	time (s) spent in epoch: 707.0043740272522
epoch: 18	train ppl: 96.29627271772058	val ppl: 125.50100077888963	best val: 123.9546892280857	time (s) spent in epoch: 706.4662530422211
epoch: 19	train ppl: 93.70011299407106	val ppl: 124.18794108808503	best val: 123.9546892280857	time (s) spent in epoch: 706.5667700767517
epoch: 20	train ppl: 91.40824172535041	val ppl: 122.21858354320999	best val: 122.21858354320999	time (s) spent in epoch: 705.5175037384033
epoch: 21	train ppl: 89.18494677036252	val ppl: 126.46489013656786	best val: 122.21858354320999	time (s) spent in epoch: 706.387050151825
epoch: 22	train ppl: 86.98685902064115	val ppl: 124.16968428813857	best val: 122.21858354320999	time (s) spent in epoch: 705.6771454811096
epoch: 23	train ppl: 85.23752191122402	val ppl: 124.64728986909826	best val: 122.21858354320999	time (s) spent in epoch: 706.3803651332855
epoch: 24	train ppl: 83.25812038158533	val ppl: 124.08118865295889	best val: 122.21858354320999	time (s) spent in epoch: 706.5002090930939
epoch: 25	train ppl: 81.69153816665403	val ppl: 124.01844180469253	best val: 122.21858354320999	time (s) spent in epoch: 706.4846351146698
epoch: 26	train ppl: 80.00858788163998	val ppl: 123.77905557346264	best val: 122.21858354320999	time (s) spent in epoch: 708.9039468765259
epoch: 27	train ppl: 78.2834967051306	val ppl: 123.67784760785555	best val: 122.21858354320999	time (s) spent in epoch: 708.9006578922272
epoch: 28	train ppl: 76.83436659651369	val ppl: 122.26095092862951	best val: 122.21858354320999	time (s) spent in epoch: 708.0622577667236
epoch: 29	train ppl: 75.5536971023075	val ppl: 125.43039273220809	best val: 122.21858354320999	time (s) spent in epoch: 708.229056596756
epoch: 30	train ppl: 74.05411411475862	val ppl: 125.58851227288325	best val: 122.21858354320999	time (s) spent in epoch: 707.0892839431763
epoch: 31	train ppl: 72.79668139178635	val ppl: 125.0337645534378	best val: 122.21858354320999	time (s) spent in epoch: 707.8905992507935
epoch: 32	train ppl: 71.58668877434997	val ppl: 123.88252018225586	best val: 122.21858354320999	time (s) spent in epoch: 706.9794616699219
epoch: 33	train ppl: 70.48346033104636	val ppl: 125.1529594790443	best val: 122.21858354320999	time (s) spent in epoch: 705.3106672763824
epoch: 34	train ppl: 69.4408129467501	val ppl: 124.88240251784019	best val: 122.21858354320999	time (s) spent in epoch: 705.8202543258667
epoch: 35	train ppl: 68.23066307613135	val ppl: 125.91683649649397	best val: 122.21858354320999	time (s) spent in epoch: 707.2390837669373
epoch: 36	train ppl: 67.26067111823427	val ppl: 126.00660871211882	best val: 122.21858354320999	time (s) spent in epoch: 706.6370739936829
epoch: 37	train ppl: 66.50067613350285	val ppl: 127.1447829018828	best val: 122.21858354320999	time (s) spent in epoch: 707.150107383728
epoch: 38	train ppl: 65.39665432999428	val ppl: 127.95773864197342	best val: 122.21858354320999	time (s) spent in epoch: 706.6312856674194
epoch: 39	train ppl: 64.56046166472821	val ppl: 127.84829956383328	best val: 122.21858354320999	time (s) spent in epoch: 707.4058828353882
