epoch: 0	train ppl: 324.10264296031096	val ppl: 221.31736329347052	best val: 221.31736329347052	time (s) spent in epoch: 84.78014731407166
epoch: 1	train ppl: 164.51959730878986	val ppl: 208.2987740153616	best val: 208.2987740153616	time (s) spent in epoch: 84.29615688323975
epoch: 2	train ppl: 130.2942893763252	val ppl: 214.35508996095476	best val: 208.2987740153616	time (s) spent in epoch: 84.2748761177063
epoch: 3	train ppl: 112.27840437978699	val ppl: 226.12522391569843	best val: 208.2987740153616	time (s) spent in epoch: 84.29534029960632
epoch: 4	train ppl: 101.75919550718369	val ppl: 237.4860598292437	best val: 208.2987740153616	time (s) spent in epoch: 84.33892583847046
epoch: 5	train ppl: 95.4013938052564	val ppl: 248.0077018858013	best val: 208.2987740153616	time (s) spent in epoch: 84.2999427318573
epoch: 6	train ppl: 90.83871738332074	val ppl: 256.71186064267056	best val: 208.2987740153616	time (s) spent in epoch: 84.29746866226196
epoch: 7	train ppl: 86.85233172431882	val ppl: 264.67327170204453	best val: 208.2987740153616	time (s) spent in epoch: 84.20154428482056
epoch: 8	train ppl: 83.20013883132728	val ppl: 275.37479703829325	best val: 208.2987740153616	time (s) spent in epoch: 84.32400846481323
epoch: 9	train ppl: 79.64107304800434	val ppl: 283.8952710618405	best val: 208.2987740153616	time (s) spent in epoch: 84.33919548988342
epoch: 10	train ppl: 75.9602958064313	val ppl: 294.2230848527992	best val: 208.2987740153616	time (s) spent in epoch: 84.33169102668762
epoch: 11	train ppl: 71.96116188390889	val ppl: 308.98295468574634	best val: 208.2987740153616	time (s) spent in epoch: 84.21755814552307
epoch: 12	train ppl: 68.1109308854771	val ppl: 325.1331600986247	best val: 208.2987740153616	time (s) spent in epoch: 84.31220436096191
epoch: 13	train ppl: 64.4606674055079	val ppl: 342.9089801087781	best val: 208.2987740153616	time (s) spent in epoch: 84.36043524742126
epoch: 14	train ppl: 61.26108696957287	val ppl: 362.4079132408703	best val: 208.2987740153616	time (s) spent in epoch: 84.2397108078003
epoch: 15	train ppl: 58.49060313884261	val ppl: 384.6664878302636	best val: 208.2987740153616	time (s) spent in epoch: 84.33074378967285
epoch: 16	train ppl: 56.386568892742474	val ppl: 411.1159538592068	best val: 208.2987740153616	time (s) spent in epoch: 84.31691241264343
epoch: 17	train ppl: 54.62482819017063	val ppl: 425.8986191431774	best val: 208.2987740153616	time (s) spent in epoch: 84.23013210296631
epoch: 18	train ppl: 53.08441786599322	val ppl: 440.4524918017706	best val: 208.2987740153616	time (s) spent in epoch: 84.31042528152466
epoch: 19	train ppl: 51.602834795665444	val ppl: 445.94224468063993	best val: 208.2987740153616	time (s) spent in epoch: 84.38267469406128
epoch: 20	train ppl: 50.26744986642805	val ppl: 464.0368442045814	best val: 208.2987740153616	time (s) spent in epoch: 84.3835380077362
epoch: 21	train ppl: 49.414140629090035	val ppl: 482.0109219831633	best val: 208.2987740153616	time (s) spent in epoch: 84.35883522033691
epoch: 22	train ppl: 48.14704937866861	val ppl: 492.66599817064235	best val: 208.2987740153616	time (s) spent in epoch: 84.38233137130737
epoch: 23	train ppl: 47.979294466532345	val ppl: 503.27812398301967	best val: 208.2987740153616	time (s) spent in epoch: 84.3243293762207
epoch: 24	train ppl: 46.81576110772674	val ppl: 518.2837394987222	best val: 208.2987740153616	time (s) spent in epoch: 84.28464245796204
epoch: 25	train ppl: 46.18577853550026	val ppl: 546.3447211778631	best val: 208.2987740153616	time (s) spent in epoch: 84.28253149986267
epoch: 26	train ppl: 45.08738120182014	val ppl: 571.6164100787996	best val: 208.2987740153616	time (s) spent in epoch: 84.35389423370361
epoch: 27	train ppl: 44.43780307721282	val ppl: 600.8154243455767	best val: 208.2987740153616	time (s) spent in epoch: 84.39125847816467
epoch: 28	train ppl: 44.05110391476484	val ppl: 616.6812013228243	best val: 208.2987740153616	time (s) spent in epoch: 84.37221550941467
epoch: 29	train ppl: 43.42674463484014	val ppl: 620.1134432894186	best val: 208.2987740153616	time (s) spent in epoch: 84.36281943321228
epoch: 30	train ppl: 42.38709823746529	val ppl: 638.7080938650594	best val: 208.2987740153616	time (s) spent in epoch: 84.34511923789978
epoch: 31	train ppl: 41.47718632392791	val ppl: 646.7236188844072	best val: 208.2987740153616	time (s) spent in epoch: 84.33619999885559
epoch: 32	train ppl: 41.34976944962921	val ppl: 664.1409602473195	best val: 208.2987740153616	time (s) spent in epoch: 84.336923122406
epoch: 33	train ppl: 40.36918977204737	val ppl: 671.8711017460643	best val: 208.2987740153616	time (s) spent in epoch: 84.35141777992249
epoch: 34	train ppl: 39.64593008209998	val ppl: 699.5794802874475	best val: 208.2987740153616	time (s) spent in epoch: 84.41912841796875
epoch: 35	train ppl: 39.34048375779796	val ppl: 691.0909233283461	best val: 208.2987740153616	time (s) spent in epoch: 84.36392855644226
epoch: 36	train ppl: 38.60393361118974	val ppl: 687.136457486438	best val: 208.2987740153616	time (s) spent in epoch: 84.3371012210846
epoch: 37	train ppl: 38.015541823171446	val ppl: 728.9005889430415	best val: 208.2987740153616	time (s) spent in epoch: 84.42249631881714
epoch: 38	train ppl: 37.79604362969495	val ppl: 703.9219663029495	best val: 208.2987740153616	time (s) spent in epoch: 84.40924382209778
epoch: 39	train ppl: 37.40529220888582	val ppl: 718.7557930561306	best val: 208.2987740153616	time (s) spent in epoch: 84.33562326431274
